lindaLopez
12-0250-English-Spanish-t-d
12/11/2012	14:47:54

Participant	Participant	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group	lindaLopez	Instructions	Instructions	Instructions		 	Pressed			(any response)	C	16673					
Main Group	lindaLopez	Experiment	Experiment, 36	Stimulus (36, dagger3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	926					
Main Group	lindaLopez	Experiment	Experiment, 218	Stimulus (218, tabloid2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	945					
Main Group	lindaLopez	Experiment	Experiment, 215	Stimulus (215, tabla2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	724					
Main Group	lindaLopez	Experiment	Experiment, 282	Stimulus (282, window3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	759					
Main Group	lindaLopez	Experiment	Experiment, 73	Stimulus (73, dannar1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	762					
Main Group	lindaLopez	Experiment	Experiment, 191	Stimulus (191, screen2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	876					
Main Group	lindaLopez	Experiment	Experiment, 14	Stimulus (14, arbol2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	691					
Main Group	lindaLopez	Experiment	Experiment, 185	Stimulus (185, rain2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	746					
Main Group	lindaLopez	Experiment	Experiment, 105	Stimulus (105, estufa3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	748					
Main Group	lindaLopez	Experiment	Experiment, 153	Stimulus (153, lila3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	688					
Main Group	lindaLopez	Experiment	Experiment, 80	Stimulus (80, danno2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	896					
Main Group	lindaLopez	Experiment	Experiment, 4	Stimulus (4, alfombra1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	882					
Main Group	lindaLopez	Experiment	Experiment, 55	Stimulus (55, damper1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	740					
Main Group	lindaLopez	Experiment	Experiment, 198	Stimulus (198, shot3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	981					
Main Group	lindaLopez	Experiment	Experiment, 31	Stimulus (31, daga1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	936					
Main Group	lindaLopez	Experiment	Experiment, 251	Stimulus (251, tampoco2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	985					
