rosaDelaherran
12-0250-English-Spanish-t-d
02/08/2013	11:14:29

Participant	Participant	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group	rosaDelaherran	Instructions	Instructions	Instructions		 	Pressed			(any response)	C	6319					
Main Group	rosaDelaherran	Experiment	Experiment, 178	Stimulus (178, ninno1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	887					
Main Group	rosaDelaherran	Experiment	Experiment, 280	Stimulus (280, window1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	698					
Main Group	rosaDelaherran	Experiment	Experiment, 110	Stimulus (110, fat2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	876					
Main Group	rosaDelaherran	Experiment	Experiment, 111	Stimulus (111, fat3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	816					
Main Group	rosaDelaherran	Experiment	Experiment, 242	Stimulus (242, tamanno2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	691					
Main Group	rosaDelaherran	Experiment	Experiment, 157	Stimulus (157, manta1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	772					
Main Group	rosaDelaherran	Experiment	Experiment, 77	Stimulus (77, dannino2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	761					
Main Group	rosaDelaherran	Experiment	Experiment, 240	Stimulus (240, tactil3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	628					
Main Group	rosaDelaherran	Experiment	Experiment, 204	Stimulus (204, strawberry3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	835					
Main Group	rosaDelaherran	Experiment	Experiment, 205	Stimulus (205, tabaco1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	541					
Main Group	rosaDelaherran	Experiment	Experiment, 36	Stimulus (36, dagger3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1040					
Main Group	rosaDelaherran	Experiment	Experiment, 98	Stimulus (98, eggplant2.wav)	Button 3 (large, bottom left)			3	Pressed	ENGLISH; Button 4 (large, bottom right)	E	722					
Main Group	rosaDelaherran	Experiment	Experiment, 98	Stimulus (98, eggplant2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	SC	1890					
Main Group	rosaDelaherran	Experiment	Experiment, 208	Stimulus (208, tabard1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	764					
Main Group	rosaDelaherran	Experiment	Experiment, 283	Stimulus (283, woman1.wav)	Button 3 (large, bottom left)			3	Pressed	ENGLISH; Button 4 (large, bottom right)	E	687					
Main Group	rosaDelaherran	Experiment	Experiment, 215	Stimulus (215, tabla2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	769					
Main Group	rosaDelaherran	Experiment	Experiment, 213	Stimulus (213, taberna3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	728					
Main Group	rosaDelaherran	Experiment	Experiment, 27	Stimulus (27, daba3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	664					
Main Group	rosaDelaherran	Experiment	Experiment, 134	Stimulus (134, herrero2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	730					
Main Group	rosaDelaherran	Experiment	Experiment, 152	Stimulus (152, lila2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	908					
Main Group	rosaDelaherran	Experiment	Experiment, 167	Stimulus (167, mesa2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	644					
Main Group	rosaDelaherran	Experiment	Experiment, 71	Stimulus (71, danielle2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	797					
Main Group	rosaDelaherran	Experiment	Experiment, 70	Stimulus (70, danielle1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	887					
Main Group	rosaDelaherran	Experiment	Experiment, 62	Stimulus (62, dancing2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	712					
Main Group	rosaDelaherran	Experiment	Experiment, 69	Stimulus (69, danesa3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	828					
Main Group	rosaDelaherran	Experiment	Experiment, 176	Stimulus (176, nieve2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1104					
Main Group	rosaDelaherran	Experiment	Experiment, 138	Stimulus (138, iron3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	627					
Main Group	rosaDelaherran	Experiment	Experiment, 245	Stimulus (245, tambien2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	758					
Main Group	rosaDelaherran	Experiment	Experiment, 151	Stimulus (151, lila1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	808					
Main Group	rosaDelaherran	Experiment	Experiment, 47	Stimulus (47, dama2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	972					
Main Group	rosaDelaherran	Experiment	Experiment, 89	Stimulus (89, danzar2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	766					
Main Group	rosaDelaherran	Experiment	Experiment, 247	Stimulus (247, tambourine1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	991					
Main Group	rosaDelaherran	Experiment	Experiment, 282	Stimulus (282, window3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	984					
Main Group	rosaDelaherran	Experiment	Experiment, 173	Stimulus (173, nevera2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1099					
Main Group	rosaDelaherran	Experiment	Experiment, 222	Stimulus (222, taboo3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	857					
Main Group	rosaDelaherran	Experiment	Experiment, 67	Stimulus (67, danesa1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	748					
Main Group	rosaDelaherran	Experiment	Experiment, 160	Stimulus (160, marisco1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	880					
Main Group	rosaDelaherran	Experiment	Experiment, 61	Stimulus (61, dancing1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	867					
Main Group	rosaDelaherran	Experiment	Experiment, 252	Stimulus (252, tampoco3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1111					
Main Group	rosaDelaherran	Experiment	Experiment, 206	Stimulus (206, tabaco2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	649					
Main Group	rosaDelaherran	Experiment	Experiment, 154	Stimulus (154, liso1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1148					
Main Group	rosaDelaherran	Experiment	Experiment, 108	Stimulus (108, evening3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	804					
Main Group	rosaDelaherran	Experiment	Experiment, 68	Stimulus (68, danesa2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	824					
Main Group	rosaDelaherran	Experiment	Experiment, 28	Stimulus (28, dado1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1228					
Main Group	rosaDelaherran	Experiment	Experiment, 19	Stimulus (19, artichoke1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	831					
Main Group	rosaDelaherran	Experiment	Experiment, 253	Stimulus (253, tanker1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	754					
Main Group	rosaDelaherran	Experiment	Experiment, 145	Stimulus (145, leg1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	972					
Main Group	rosaDelaherran	Experiment	Experiment, 73	Stimulus (73, dannar1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	831					
Main Group	rosaDelaherran	Experiment	Experiment, 221	Stimulus (221, taboo2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	658					
Main Group	rosaDelaherran	Experiment	Experiment, 78	Stimulus (78, dannino3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1002					
Main Group	rosaDelaherran	Experiment	Experiment, 4	Stimulus (4, alfombra1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	900					
Main Group	rosaDelaherran	Experiment	Experiment, 232	Stimulus (232, taco1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1094					
Main Group	rosaDelaherran	Experiment	Experiment, 225	Stimulus (225, tabu3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	954					
Main Group	rosaDelaherran	Experiment	Experiment, 175	Stimulus (175, nieve1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	829					
Main Group	rosaDelaherran	Experiment	Experiment, 195	Stimulus (195, seco3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	677					
Main Group	rosaDelaherran	Experiment	Experiment, 158	Stimulus (158, manta2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	872					
Main Group	rosaDelaherran	Experiment	Experiment, 199	Stimulus (199, snake1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1234					
Main Group	rosaDelaherran	Experiment	Experiment, 75	Stimulus (75, dannar3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1381					
Main Group	rosaDelaherran	Experiment	Experiment, 39	Stimulus (39, dakota3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	984					
Main Group	rosaDelaherran	Experiment	Experiment, 143	Stimulus (143, lazo2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1218					
Main Group	rosaDelaherran	Experiment	Experiment, 7	Stimulus (7, answer1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	729					
Main Group	rosaDelaherran	Experiment	Experiment, 51	Stimulus (51, damage3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1293					
Main Group	rosaDelaherran	Experiment	Experiment, 41	Stimulus (41, daltonian2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1263					
Main Group	rosaDelaherran	Experiment	Experiment, 220	Stimulus (220, taboo1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1314					
Main Group	rosaDelaherran	Experiment	Experiment, 182	Stimulus (182, orgullo2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	741					
Main Group	rosaDelaherran	Experiment	Experiment, 58	Stimulus (58, dancette1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1335					
Main Group	rosaDelaherran	Experiment	Experiment, 230	Stimulus (230, tackle2.wav)	Button 3 (large, bottom left)			3	Pressed	ENGLISH; Button 4 (large, bottom right)	E	786					
Main Group	rosaDelaherran	Experiment	Experiment, 109	Stimulus (109, fat1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	869					
Main Group	rosaDelaherran	Experiment	Experiment, 88	Stimulus (88, danzar1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	663					
Main Group	rosaDelaherran	Experiment	Experiment, 56	Stimulus (56, damper2.wav)	Button 3 (large, bottom left)			3	Pressed	ENGLISH; Button 4 (large, bottom right)	E	872					
Main Group	rosaDelaherran	Experiment	Experiment, 25	Stimulus (25, daba1.wav)						SPANISH; Button 3 (large, bottom left)	NR	0					
Main Group	rosaDelaherran	Experiment	Experiment, 99	Stimulus (99, eggplant3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	740					
Main Group	rosaDelaherran	Experiment	Experiment, 255	Stimulus (255, tanker3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	568					
Main Group	rosaDelaherran	Experiment	Experiment, 275	Stimulus (275, taza2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	842					
Main Group	rosaDelaherran	Experiment	Experiment, 185	Stimulus (185, rain2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	659					
Main Group	rosaDelaherran	Experiment	Experiment, 246	Stimulus (246, tambien3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	630					
Main Group	rosaDelaherran	Experiment	Experiment, 279	Stimulus (279, vault3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	736					
Main Group	rosaDelaherran	Experiment	Experiment, 272	Stimulus (272, tattoo2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	770					
Main Group	rosaDelaherran	Experiment	Experiment, 53	Stimulus (53, damnation2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	757					
Main Group	rosaDelaherran	Experiment	Experiment, 116	Stimulus (116, ficha2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1063					
Main Group	rosaDelaherran	Experiment	Experiment, 133	Stimulus (133, herrero1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	858					
Main Group	rosaDelaherran	Experiment	Experiment, 11	Stimulus (11, apple2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	770					
Main Group	rosaDelaherran	Experiment	Experiment, 251	Stimulus (251, tampoco2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	695					
Main Group	rosaDelaherran	Experiment	Experiment, 14	Stimulus (14, arbol2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	761					
Main Group	rosaDelaherran	Experiment	Experiment, 270	Stimulus (270, tattoing3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	819					
Main Group	rosaDelaherran	Experiment	Experiment, 100	Stimulus (100, enano1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	758					
Main Group	rosaDelaherran	Experiment	Experiment, 254	Stimulus (254, tanker2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	905					
Main Group	rosaDelaherran	Experiment	Experiment, 139	Stimulus (139, isla1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	803					
Main Group	rosaDelaherran	Experiment	Experiment, 118	Stimulus (118, firma1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	764					
Main Group	rosaDelaherran	Experiment	Experiment, 13	Stimulus (13, arbol1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	470					
Main Group	rosaDelaherran	Experiment	Experiment, 126	Stimulus (126, fork3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	752					
Main Group	rosaDelaherran	Experiment	Experiment, 82	Stimulus (82, danseur1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1232					
Main Group	rosaDelaherran	Experiment	Experiment, 188	Stimulus (188, river2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	659					
Main Group	rosaDelaherran	Experiment	Experiment, 66	Stimulus (66, danes3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1253					
Main Group	rosaDelaherran	Experiment	Experiment, 148	Stimulus (148, lighthouse1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	860					
Main Group	rosaDelaherran	Experiment	Experiment, 8	Stimulus (8, answer2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1055					
Main Group	rosaDelaherran	Experiment	Experiment, 150	Stimulus (150, lighthouse3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	829					
Main Group	rosaDelaherran	Experiment	Experiment, 202	Stimulus (202, strawberry1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	884					
Main Group	rosaDelaherran	Experiment	Experiment, 217	Stimulus (217, tabloid1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	791					
Main Group	rosaDelaherran	Experiment	Experiment, 57	Stimulus (57, damper3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	929					
Main Group	rosaDelaherran	Experiment	Experiment, 114	Stimulus (114, felino3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	820					
Main Group	rosaDelaherran	Experiment	Experiment, 119	Stimulus (119, firma2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1030					
Main Group	rosaDelaherran	Experiment	Experiment, 131	Stimulus (131, hand2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1000					
Main Group	rosaDelaherran	Experiment	Experiment, 79	Stimulus (79, danno1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	834					
Main Group	rosaDelaherran	Experiment	Experiment, 170	Stimulus (170, neck2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1205					
Main Group	rosaDelaherran	Experiment	Experiment, 214	Stimulus (214, tabla1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	575					
Main Group	rosaDelaherran	Experiment	Experiment, 16	Stimulus (16, arm1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	625					
Main Group	rosaDelaherran	Experiment	Experiment, 271	Stimulus (271, tattoo1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	932					
Main Group	rosaDelaherran	Experiment	Experiment, 90	Stimulus (90, danzar3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	949					
Main Group	rosaDelaherran	Experiment	Experiment, 249	Stimulus (249, tambourine3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	665					
Main Group	rosaDelaherran	Experiment	Experiment, 161	Stimulus (161, marisco2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1339					
Main Group	rosaDelaherran	Experiment	Experiment, 177	Stimulus (177, nieve3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	941					
Main Group	rosaDelaherran	Experiment	Experiment, 21	Stimulus (21, artichoke3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	688					
Main Group	rosaDelaherran	Experiment	Experiment, 76	Stimulus (76, dannino1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	659					
Main Group	rosaDelaherran	Experiment	Experiment, 129	Stimulus (129, four3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1125					
Main Group	rosaDelaherran	Experiment	Experiment, 267	Stimulus (267, tapioca3.wav)	Button 3 (large, bottom left)			3	Pressed	ENGLISH; Button 4 (large, bottom right)	E	1577					
Main Group	rosaDelaherran	Experiment	Experiment, 267	Stimulus (267, tapioca3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	SC	1992					
Main Group	rosaDelaherran	Experiment	Experiment, 156	Stimulus (156, liso3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	828					
Main Group	rosaDelaherran	Experiment	Experiment, 49	Stimulus (49, damage1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1743					
Main Group	rosaDelaherran	Experiment	Experiment, 165	Stimulus (165, medico3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	1139					
Main Group	rosaDelaherran	Experiment	Experiment, 203	Stimulus (203, strawberry2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1044					
Main Group	rosaDelaherran	Experiment	Experiment, 115	Stimulus (115, ficha1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	776					
