krystalMccluney
12-0250-English-Spanish-t-d
04/19/2013	11:10:09

Participant	Participant	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group	krystalMccluney	Instructions	Instructions	Instructions		 	Pressed			(any response)	C	1718					
Main Group	krystalMccluney	Experiment	Experiment, 150	Stimulus (150, lighthouse3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	1036					
Main Group	krystalMccluney	Experiment	Experiment, 283	Stimulus (283, woman1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	784					
Main Group	krystalMccluney	Experiment	Experiment, 187	Stimulus (187, river1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	765					
Main Group	krystalMccluney	Experiment	Experiment, 157	Stimulus (157, manta1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	773					
Main Group	krystalMccluney	Experiment	Experiment, 20	Stimulus (20, artichoke2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	633					
Main Group	krystalMccluney	Experiment	Experiment, 195	Stimulus (195, seco3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	706					
Main Group	krystalMccluney	Experiment	Experiment, 133	Stimulus (133, herrero1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	727					
Main Group	krystalMccluney	Experiment	Experiment, 58	Stimulus (58, dancette1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	731					
Main Group	krystalMccluney	Experiment	Experiment, 116	Stimulus (116, ficha2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	866					
Main Group	krystalMccluney	Experiment	Experiment, 240	Stimulus (240, tactil3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	853					
Main Group	krystalMccluney	Experiment	Experiment, 33	Stimulus (33, daga3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	715					
Main Group	krystalMccluney	Experiment	Experiment, 217	Stimulus (217, tabloid1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	810					
Main Group	krystalMccluney	Experiment	Experiment, 138	Stimulus (138, iron3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	704					
Main Group	krystalMccluney	Experiment	Experiment, 205	Stimulus (205, tabaco1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	727					
Main Group	krystalMccluney	Experiment	Experiment, 198	Stimulus (198, shot3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	774					
Main Group	krystalMccluney	Experiment	Experiment, 91	Stimulus (91, dapper1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	624					
Main Group	krystalMccluney	Experiment	Experiment, 110	Stimulus (110, fat2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	818					
Main Group	krystalMccluney	Experiment	Experiment, 227	Stimulus (227, tacit2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	608					
Main Group	krystalMccluney	Experiment	Experiment, 7	Stimulus (7, answer1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	675					
Main Group	krystalMccluney	Experiment	Experiment, 61	Stimulus (61, dancing1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	597					
Main Group	krystalMccluney	Experiment	Experiment, 272	Stimulus (272, tattoo2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	710					
Main Group	krystalMccluney	Experiment	Experiment, 90	Stimulus (90, danzar3.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	708					
Main Group	krystalMccluney	Experiment	Experiment, 231	Stimulus (231, tackle3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	695					
Main Group	krystalMccluney	Experiment	Experiment, 63	Stimulus (63, dancing3.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	869					
Main Group	krystalMccluney	Experiment	Experiment, 274	Stimulus (274, taza1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	721					
Main Group	krystalMccluney	Experiment	Experiment, 197	Stimulus (197, shot2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	654					
Main Group	krystalMccluney	Experiment	Experiment, 182	Stimulus (182, orgullo2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	727					
Main Group	krystalMccluney	Experiment	Experiment, 220	Stimulus (220, taboo1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	728					
Main Group	krystalMccluney	Experiment	Experiment, 1	Stimulus (1, abuela1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	666					
Main Group	krystalMccluney	Experiment	Experiment, 103	Stimulus (103, estufa1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	835					
Main Group	krystalMccluney	Experiment	Experiment, 85	Stimulus (85, danza1.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	629					
Main Group	krystalMccluney	Experiment	Experiment, 106	Stimulus (106, evening1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	628					
Main Group	krystalMccluney	Experiment	Experiment, 245	Stimulus (245, tambien2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	627					
Main Group	krystalMccluney	Experiment	Experiment, 169	Stimulus (169, neck1.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	673					
Main Group	krystalMccluney	Experiment	Experiment, 21	Stimulus (21, artichoke3.wav)	Button 3 (large, bottom left)			3	Pressed	ENGLISH; Button 4 (large, bottom right)	E	567					
Main Group	krystalMccluney	Experiment	Experiment, 17	Stimulus (17, arm2.wav)	Button 4 (large, bottom right)			4	Pressed	ENGLISH; Button 4 (large, bottom right)	C	675					
Main Group	krystalMccluney	Experiment	Experiment, 152	Stimulus (152, lila2.wav)	Button 3 (large, bottom left)			3	Pressed	SPANISH; Button 3 (large, bottom left)	C	853					
