identifier,Metric,Parameter,Estimate,HDI,ROPE,MPE
VOT_Intercept,VOT,Intercept,&minus;0.075,"[&minus;0.209, 0.059]",0.647,0.863
VOT_Language,VOT,Language,0.523,"[0.481, 0.566]",0.000,1.000
VOT_Phoneme,VOT,Phoneme,&minus;0.633,"[&minus;0.738, &minus;0.522]",0.000,1.000
VOT_F1,VOT,F1,0.016,"[&minus;0.013, 0.049]",1.000,0.847
VOT_F2,VOT,F2,&minus;0.016,"[&minus;0.053, 0.020]",1.000,0.813
VOT_Item rep.,VOT,Item rep.,&minus;0.009,"[&minus;0.038, 0.019]",1.000,0.728
VOT_Language:Phoneme,VOT,Language:Phoneme,0.025,"[&minus;0.017, 0.067]",1.000,0.883
COG_Intercept,COG,Intercept,&minus;0.130,"[&minus;0.248, &minus;0.003]",0.318,0.984
COG_Language,COG,Language,0.661,"[0.631, 0.692]",0.000,1.000
COG_Phoneme,COG,Phoneme,&minus;0.308,"[&minus;0.340, &minus;0.270]",0.000,1.000
COG_F1,COG,F1,0.036,"[&minus;0.001, 0.074]",1.000,0.967
COG_F2,COG,F2,&minus;0.015,"[&minus;0.053, 0.022]",1.000,0.783
COG_Item rep.,COG,Item rep.,0.012,"[&minus;0.023, 0.049]",1.000,0.746
COG_Language:Phoneme,COG,Language:Phoneme,0.096,"[0.067, 0.126]",0.620,1.000
KT_Intercept,KT,Intercept,0.162,"[0.047, 0.291]",0.128,0.994
KT_Language,KT,Language,&minus;0.635,"[&minus;0.668, &minus;0.603]",0.000,1.000
KT_Phoneme,KT,Phoneme,0.276,"[0.237, 0.313]",0.000,1.000
KT_F1,KT,F1,&minus;0.018,"[&minus;0.056, 0.022]",1.000,0.808
KT_F2,KT,F2,&minus;0.009,"[&minus;0.048, 0.029]",1.000,0.666
KT_Item rep.,KT,Item rep.,&minus;0.028,"[&minus;0.064, 0.010]",1.000,0.936
KT_Language:Phoneme,KT,Language:Phoneme,&minus;0.173,"[&minus;0.204, &minus;0.143]",0.000,1.000
RI_Intercept,RI,Intercept,&minus;0.020,"[&minus;0.217, 0.170]",0.711,0.582
RI_Language,RI,Language,0.097,"[0.030, 0.161]",0.543,0.997
RI_Phoneme,RI,Phoneme,&minus;0.070,"[&minus;0.147, 0.011]",0.787,0.959
RI_F1,RI,F1,&minus;0.224,"[&minus;0.303, &minus;0.139]",0.000,1.000
RI_F2,RI,F2,&minus;0.073,"[&minus;0.134, &minus;0.014]",0.821,0.991
RI_Item rep.,RI,Item rep.,0.005,"[&minus;0.039, 0.053]",1.000,0.587
RI_Language:Phoneme,RI,Language:Phoneme,0.002,"[&minus;0.066, 0.063]",1.000,0.512
SD_Intercept,SD,Intercept,&minus;0.111,"[&minus;0.240, 0.022]",0.426,0.951
SD_Language,SD,Language,0.568,"[0.534, 0.604]",0.000,1.000
SD_Phoneme,SD,Phoneme,&minus;0.230,"[&minus;0.282, &minus;0.178]",0.000,1.000
SD_F1,SD,F1,0.000,"[&minus;0.043, 0.046]",1.000,0.506
SD_F2,SD,F2,0.004,"[&minus;0.038, 0.050]",1.000,0.571
SD_Item rep.,SD,Item rep.,0.014,"[&minus;0.024, 0.056]",1.000,0.750
SD_Language:Phoneme,SD,Language:Phoneme,0.082,"[0.046, 0.115]",0.866,1.000
SK_Intercept,SK,Intercept,0.116,"[&minus;0.014, 0.253]",0.403,0.959
SK_Language,SK,Language,&minus;0.611,"[&minus;0.642, &minus;0.576]",0.000,1.000
SK_Phoneme,SK,Phoneme,0.298,"[0.264, 0.337]",0.000,1.000
SK_F1,SK,F1,&minus;0.029,"[&minus;0.068, 0.012]",1.000,0.921
SK_F2,SK,F2,&minus;0.008,"[&minus;0.047, 0.031]",1.000,0.649
SK_Item rep.,SK,Item rep.,&minus;0.008,"[&minus;0.046, 0.029]",1.000,0.664
SK_Language:Phoneme,SK,Language:Phoneme,&minus;0.140,"[&minus;0.169, &minus;0.105]",0.000,1.000
