group,id,item,language,misc,f1_start,f2_start,f1_cent,f2_cent,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P02,cavalier,english,5,212.39,813.22,462.95,760.08,91.6,13.6,723.08,1267.61,2.85,12.16,NA,1,k,voiceless,unstressed
bi_aldrich,P02,tactility,english,5,328.73,776.58,424.7,800.46,64.39,11.02,4682.9,3136.37,-0.21,-1.27,NA,1,t,voiceless,unstressed
bi_aldrich,P02,captain,english,5,790.98,938.68,426.64,694.23,75.69,8.77,568.24,1166.38,5.79,37.62,NA,1,k,voiceless,stressed
bi_aldrich,P02,tantrum,english,5,572.68,824.41,452.77,780.12,86.65,13.33,7361.55,2686.4,-1.66,1.85,NA,1,t,voiceless,stressed
bi_aldrich,P02,casket,english,5,322.68,718.82,480.23,678.96,95.13,7.37,1451.59,1593.15,2.51,9.42,NA,1,k,voiceless,stressed
bi_aldrich,P02,canteen,english,5,216.47,836.69,445.07,821.8,104.99,16.73,1371.92,1573.73,2.97,13.87,NA,1,k,voiceless,unstressed
bi_aldrich,P02,passivity,english,5,231.83,790.89,230.72,778.33,86.22,6.13,243.14,311.79,14.94,360.96,NA,1,p,voiceless,unstressed
bi_aldrich,P02,capsize,english,5,219.19,746.41,444.62,666.14,72.8,3.28,77.85,181.06,26.93,1066.59,NA,1,k,voiceless,stressed
bi_aldrich,P02,pageant,english,5,193.65,967.35,283.37,956.36,73.71,8.3,443.16,761.38,4.62,40.71,NA,1,p,voiceless,stressed
bi_aldrich,P02,captivity,english,5,210.23,846.5,474.03,782.97,65.02,18.86,260.01,473.67,12.64,228.79,NA,1,k,voiceless,unstressed
bi_aldrich,P02,passion,english,5,503,777.28,443.98,668.04,87.03,7.39,178.6,212.21,10.33,300.68,NA,1,p,voiceless,stressed
bi_aldrich,P02,taffy,english,5,501.14,812.8,461.18,741.59,87.8,8.99,1216.05,2250.03,1.8,1.99,NA,1,t,voiceless,stressed
bi_aldrich,P02,tandem,english,5,492,790.41,462.72,787.28,186.46,13.14,4292.8,3114.16,-0.14,-1.22,NA,1,t,voiceless,stressed
bi_aldrich,P02,tacit,english,5,534.06,831.53,480.34,810.1,78.37,11.95,1438.12,2682.94,1.72,1.45,NA,1,t,voiceless,stressed
bi_aldrich,P02,tangential,english,5,234.55,817.52,462.44,800,92.84,16.41,4140.37,3724.37,0.19,-1.66,NA,1,t,voiceless,unstressed
bi_aldrich,P02,casting,english,5,243.81,944.93,322.08,943.75,78.3,12.52,2070.73,1748.66,1.52,4.05,NA,1,k,voiceless,stressed
bi_aldrich,P02,tangent,english,5,360.87,859.41,462.13,799.32,79.5,12.49,3452.66,3507.35,0.48,-1.41,NA,1,t,voiceless,stressed
bi_aldrich,P02,canopy,english,5,496.73,814.93,467.66,801.28,83.88,11.86,1082,1707.04,2.39,7.38,NA,1,k,voiceless,stressed
bi_aldrich,P02,tacky,english,5,219.16,932.19,320.08,947.02,48.8,12.52,3344.35,3299.04,0.25,-1.55,NA,1,t,voiceless,stressed
bi_aldrich,P02,campaign,english,5,216.91,828.48,270.85,774.33,60.79,15.31,1536.56,1405.54,1.47,5.55,NA,1,k,voiceless,unstressed
bi_aldrich,P02,pangaea,english,5,229.65,779.69,447.47,811.83,82.33,9.39,223.81,264.06,18.72,501.24,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pander,english,5,372.19,789.96,455.19,703.95,85.73,9.53,153.87,284.21,14.51,343.59,NA,1,p,voiceless,stressed
bi_aldrich,P02,castrate,english,5,294.32,657.13,493.75,775.2,95.74,10.87,985.26,1571.17,3.46,14.12,NA,1,k,voiceless,stressed
bi_aldrich,P02,captive,english,5,723.33,923.6,457.94,642.69,79.8,9.12,935,1109.09,3.31,16.49,NA,1,k,voiceless,stressed
bi_aldrich,P02,caffeine,english,5,773.18,966.46,482.5,802.97,71.1,11.33,1104.57,1473.15,1.96,6.34,NA,1,k,voiceless,unstressed
bi_aldrich,P02,caption,english,5,406.95,823.62,471.99,673.13,80.52,11.38,1519.9,1720.97,1.82,5.6,NA,1,k,voiceless,stressed
bi_aldrich,P02,taxation,english,5,478.26,846.26,466.27,812.55,65.63,8.08,926.3,1899.13,2.68,6.17,NA,1,t,voiceless,unstressed
bi_aldrich,P02,patty,english,5,535.74,816.53,506.61,808.99,90.87,6.76,265.02,350.43,16.34,370.86,NA,1,p,voiceless,stressed
bi_aldrich,P02,tabloid,english,5,459.76,788.56,481.48,718.61,96.47,8.61,3823.68,4125.92,0.38,-1.72,NA,1,t,voiceless,stressed
bi_aldrich,P02,package,english,5,560.55,824.69,467,822.88,80.91,8.49,249.83,400.72,12.04,214.25,NA,1,p,voiceless,stressed
bi_aldrich,P02,cosmetic,english,5,281.41,819.21,257.1,764.95,45.99,13.84,1753.97,1088.89,1.88,13.71,NA,1,k,voiceless,unstressed
bi_aldrich,P02,posterity,english,5,614.9,927.93,471.81,683.91,88.14,4.84,240.66,370.73,15.28,331.39,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pontoon,english,5,596.78,987.03,342.01,565.82,86.6,-0.72,112.51,175.99,19.44,800.39,NA,1,p,voiceless,unstressed
bi_aldrich,P02,tamper,english,5,209.46,775.94,470.14,761.62,100.72,10.03,1592.48,2857.7,1.56,0.75,NA,1,t,voiceless,stressed
bi_aldrich,P02,confound,english,5,353.83,757.63,443.16,692.84,103.59,8.78,868.35,1179.71,4.04,22.06,NA,1,k,voiceless,unstressed
bi_aldrich,P02,capsule,english,5,223.09,779.52,452.79,707.29,90.39,8.57,1951.43,2377.7,2.08,3.99,NA,1,k,voiceless,stressed
bi_aldrich,P02,paddle,english,5,662.63,898.88,486.95,777.42,98.74,3.62,227.42,229.19,14.36,437.74,NA,1,p,voiceless,stressed
bi_aldrich,P02,pancake,english,5,231.97,815.37,463.75,829.87,71.54,3.21,200.71,235.12,16.64,510.08,NA,1,p,voiceless,stressed
bi_aldrich,P02,tasmanian,english,5,311.83,822.57,414.77,767.22,66.03,14.31,977.9,2325.52,2.51,4.75,NA,1,t,voiceless,unstressed
bi_aldrich,P02,kathleen,english,5,208.2,950.87,335.34,937.5,83.25,12.93,2928.3,1401.65,1.52,5.96,NA,1,k,voiceless,unstressed
bi_aldrich,P02,cabbage,english,5,485.4,796.32,477.16,766.06,119.9,10.24,1054.65,1475.1,2.4,8.04,NA,1,k,voiceless,stressed
bi_aldrich,P02,cashier,english,5,228.61,850.85,335.48,853.4,61.72,10.32,1701.46,2103.66,2.4,5.75,NA,1,k,voiceless,unstressed
