group,id,item,language,misc,f1_start,f2_start,f1_mp,f2_mp,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P02,passivity,english,5,231.83,790.89,246.98,778.66,86.22,6.13,243.14,311.79,14.94,360.96,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pageant,english,5,193.65,967.35,275.61,967.8,73.71,8.3,443.16,761.38,4.62,40.71,NA,1,p,voiceless,stressed
bi_aldrich,P02,passion,english,5,503,777.28,415.22,612.68,87.03,7.39,178.6,212.21,10.33,300.68,NA,1,p,voiceless,stressed
bi_aldrich,P02,pangaea,english,5,229.65,779.69,451.96,803.09,82.33,9.39,223.81,264.06,18.72,501.24,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pander,english,5,372.19,789.96,498.48,783.87,85.73,9.53,153.87,284.21,14.51,343.59,NA,1,p,voiceless,stressed
bi_aldrich,P02,patty,english,5,535.74,816.53,516.84,816.78,90.87,6.76,265.02,350.43,16.34,370.86,NA,1,p,voiceless,stressed
bi_aldrich,P02,package,english,5,560.55,824.69,488.48,806.89,80.91,8.49,249.83,400.72,12.04,214.25,NA,1,p,voiceless,stressed
bi_aldrich,P02,posterity,english,5,614.9,927.93,476.97,673.73,88.14,4.84,240.66,370.73,15.28,331.39,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pontoon,english,5,596.78,987.03,368.15,592.48,86.6,-0.72,112.51,175.99,19.44,800.39,NA,1,p,voiceless,unstressed
bi_aldrich,P02,paddle,english,5,662.63,898.88,489.62,785.48,98.74,3.62,227.42,229.19,14.36,437.74,NA,1,p,voiceless,stressed
bi_aldrich,P02,pancake,english,5,231.97,815.37,465.27,811.82,71.54,3.21,200.71,235.12,16.64,510.08,NA,1,p,voiceless,stressed
bi_aldrich,P02,pompeii,english,5,235.6,722.44,397.95,552.55,65.53,8.22,190.23,338.75,15.97,368.77,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pontific,english,5,523.51,737.95,437.18,737.38,120.3,3.22,153.16,264.05,15.7,411.1,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pacto,spanish,5,372.45,603.27,415.05,612.52,8.19,2.98,337.62,281.29,5.81,149.37,NA,1,p,voiceless,stressed
bi_aldrich,P02,patente,spanish,5,258.88,683.19,375.37,700.57,8.63,6.48,209.75,420.13,11.18,166.16,NA,1,p,voiceless,unstressed
bi_aldrich,P02,papel,spanish,5,305.78,642.44,403.61,613.63,8.85,7.08,198.32,270.61,8.61,209.15,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pandilla,spanish,5,320.76,604.63,474.8,719.13,8.24,5.04,151.93,180.5,11.76,450.85,NA,1,p,voiceless,unstressed
bi_aldrich,P02,patriota,spanish,5,347.97,623.14,456.81,724.3,13.16,8.25,213.7,378.76,9.02,139.23,NA,1,p,voiceless,unstressed
bi_aldrich,P02,paso,spanish,5,372.34,607.53,480.34,716.8,14.79,7.32,393.57,729.05,7.41,69.48,NA,1,p,voiceless,stressed
bi_aldrich,P02,paja,spanish,5,363.94,548.35,525.19,636.01,9.37,5.06,415.57,650.26,8.14,90.57,NA,1,p,voiceless,stressed
bi_aldrich,P02,pantera,spanish,5,340.04,583.03,451.23,731.27,12.23,2.88,106.32,232.96,16.04,438.47,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pasillo,spanish,5,326,604.6,411.2,707.83,20.23,6.38,188.93,458.13,10.18,160.16,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pasión,spanish,5,317.42,590.44,427.79,730.8,13.7,7.81,167.88,262.89,11.18,279.05,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pata,spanish,5,391.77,611.98,473.15,727.74,18.29,8.06,177.23,350.87,12.82,240.1,NA,1,p,voiceless,stressed
bi_aldrich,P02,paco,spanish,5,321.77,595.41,450.35,685.56,7.91,3.89,148.49,160.88,4.7,169,NA,1,p,voiceless,stressed
bi_aldrich,P02,paño,spanish,5,300.83,588.96,458.39,754.64,8.22,5.39,130.55,167.4,23.96,1083.57,NA,1,p,voiceless,stressed
bi_aldrich,P02,panza,spanish,5,349.45,608.95,457.95,719.35,8.32,3.59,139.76,159.44,14.11,683.56,NA,1,p,voiceless,stressed
bi_aldrich,P02,pasado,spanish,5,348.81,627.94,422.62,709.34,12.36,7.83,139.49,374.27,14.29,299.63,NA,1,p,voiceless,unstressed
bi_aldrich,P02,patria,spanish,5,409.63,632.03,488.76,727.33,9.08,5.12,374.95,540.06,11.71,164.56,NA,1,p,voiceless,stressed
bi_aldrich,P09,passable,english,5,589.92,800.28,565.23,767.27,89.62,2.09,144.66,355.27,17.69,395.58,NA,1,p,voiceless,stressed
bi_aldrich,P09,pageant,english,5,602.06,810.89,563.6,773.81,86.56,-3.96,92.33,307.51,24.33,681.62,NA,1,p,voiceless,stressed
bi_aldrich,P09,pompeii,english,5,228.33,623.64,241.67,631.78,76.29,10.89,330.35,630.12,7.87,87.82,NA,1,p,voiceless,unstressed
bi_aldrich,P09,paprika,english,5,555.46,814.96,462.75,759.32,64.89,-3.08,143.96,369.63,15.38,330.93,NA,1,p,voiceless,unstressed
bi_aldrich,P09,patty,english,5,575.39,797.15,587.66,744.89,76.99,-6.45,225.01,314.38,16.4,389.38,NA,1,p,voiceless,stressed
bi_aldrich,P09,paddle,english,5,667.28,692.75,580.24,770.23,111.03,-2.69,194.47,477.96,12.22,197.97,NA,1,p,voiceless,stressed
bi_aldrich,P09,pomposity,english,5,255.92,607.4,230.68,618.23,62.67,9.5,525.47,1161.16,5.11,33.11,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pancake,english,5,466.69,927.49,364.2,867.75,84.83,2.36,329.36,605.36,5.68,52.38,NA,1,p,voiceless,stressed
bi_aldrich,P09,posterity,english,5,304.21,604.37,500.8,674.92,54.22,2.89,235.97,415.23,11.38,189.06,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pontific,english,5,212.79,644.89,480.98,659.26,59.76,4.76,376.61,556.92,10.28,135,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pangaea,english,5,311.89,960.92,341.23,891.76,75.22,-0.28,205.55,294.85,19.54,513.19,NA,1,p,voiceless,unstressed
bi_aldrich,P09,padlock,english,5,574.73,822.77,545.12,765.21,110.41,-4.96,180.42,355.64,16.12,342.81,NA,1,p,voiceless,stressed
bi_aldrich,P09,pander,english,5,416.64,938.94,281.65,809.43,115.25,-5.12,194.83,208.02,13.15,443.15,NA,1,p,voiceless,stressed
bi_aldrich,P09,pandora,english,5,264.93,937.5,279.12,824.83,52.56,3.18,112.06,308.61,17.2,415.1,NA,1,p,voiceless,unstressed
bi_aldrich,P09,passion,english,5,622.88,803.66,533.56,761.1,143.09,14.43,61.36,111.87,45.95,3542.11,NA,1,p,voiceless,stressed
bi_aldrich,P09,pacify,english,5,670.76,890.49,548.29,770.39,115.41,1.53,321,865.16,6.38,50.19,NA,1,p,voiceless,stressed
bi_aldrich,P09,passivity,english,5,575.28,846.08,490.11,794.59,73.96,1.83,240.88,419.26,12.64,226.99,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pontoon,english,5,248,629.77,270.8,635.73,95.78,8.23,213.36,434.53,14.46,275.31,NA,1,p,voiceless,unstressed
bi_aldrich,P09,package,english,5,595.26,811.84,592.81,786.15,101.88,-0.27,236.48,296.75,15.21,356.09,NA,1,p,voiceless,stressed
bi_aldrich,P09,pandilla,spanish,5,438.02,785.98,527.59,691.06,9.58,2.4,278.33,319.82,11.34,229.89,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pantera,spanish,5,465.43,703.3,530.1,722.04,8.99,1.34,349.61,462.09,9.31,136.88,NA,1,p,voiceless,unstressed
bi_aldrich,P09,panza,spanish,5,453.43,553.16,523.79,703.83,8.34,2.07,220.16,347.74,21.12,525.63,NA,1,p,voiceless,stressed
bi_aldrich,P09,paja,spanish,5,310.69,535.2,541.87,624.14,9.46,3.21,139.85,321.93,15.84,371.9,NA,1,p,voiceless,stressed
bi_aldrich,P09,pasillo,spanish,5,409.93,718.22,492.41,765.45,9.05,-0.08,268.37,485.79,11.33,186.45,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pasado,spanish,5,271.45,607.59,529.54,705.36,10.15,1.6,207.45,464.01,12.7,201.91,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pacto,spanish,5,242.03,582.51,511.71,696.74,9.96,-2.83,227.61,414.21,12.9,228.33,NA,1,p,voiceless,stressed
bi_aldrich,P09,pagado,spanish,5,490.79,741.17,528.04,727.71,11.73,-7.17,105.36,118.77,14.61,845.47,NA,1,p,voiceless,unstressed
bi_aldrich,P09,paso,spanish,5,561.85,813.92,494.4,664.26,9.4,1.49,322.25,428.25,9.57,155.56,NA,1,p,voiceless,stressed
bi_aldrich,P09,pata,spanish,5,391.71,569.76,506.84,700.92,10.03,-3.82,127.32,127.63,13.72,746.19,NA,1,p,voiceless,stressed
bi_aldrich,P09,papel,spanish,5,364.07,528.04,496.56,661.4,11.13,3.84,291.56,555.84,11.35,173.04,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pavor,spanish,5,288.64,584.24,500.34,686.12,13.02,2.92,316.1,693,8.59,101.35,NA,1,p,voiceless,unstressed
bi_aldrich,P09,patria,spanish,5,356.42,499.84,489.98,707.5,8.68,0.25,278.71,397.07,12.56,241.81,NA,1,p,voiceless,stressed
bi_aldrich,P09,paño,spanish,5,469.54,711.49,600.7,756.32,8.94,-1.23,329.5,279.87,5.29,111.85,NA,1,p,voiceless,stressed
bi_aldrich,P09,pasión,spanish,5,472.73,552,541.66,736.83,5.34,0.59,408.58,312.11,6.44,101.43,NA,1,p,voiceless,unstressed
bi_aldrich,P09,paco,spanish,5,463.12,679.3,549.29,729.21,10.57,0.97,108.08,275.67,20.77,573.1,NA,1,p,voiceless,stressed
bi_aldrich,P09,patriota,spanish,5,427.6,626.85,500.41,740.73,9.57,5.17,497.03,1028.83,6.96,53.55,NA,1,p,voiceless,unstressed
bi_aldrich,P09,patente,spanish,5,428.89,573.71,505,747.9,12.54,5.98,163.4,363.41,14.88,315.57,NA,1,p,voiceless,unstressed
bi_aldrich,P10,pangaea,english,5,458.88,887.36,511.99,854.04,15.74,10.21,924.16,862.61,3.06,19.69,NA,1,p,voiceless,unstressed
bi_aldrich,P10,pontoon,english,5,583.52,633.15,553,619.82,98.8,12.74,288.32,294.54,12.7,308.64,NA,1,p,voiceless,unstressed
bi_aldrich,P10,pander,english,5,543.13,875.75,552.75,819.59,80.49,10.2,265.29,610.82,5.79,51.77,NA,1,p,voiceless,stressed
