"token" "subject" "word" "group" "language" "cons" "stress" "vot" "cog" "sd" "skew" "kurt" "cm"
"1" "BIL_alondraHinojosa_daba_spanish_1086" "alondraH" "daba" "bilingual" "Spanish" "d" "stressed" -93.35 496.58 542.68 7.87 99.31 1257345746.25
"2" "BIL_alondraHinojosa_daba_spanish_1156" "alondraH" "daba" "bilingual" "Spanish" "d" "stressed" -79.25 692.39 1032.65 4.16 25.92 4579209921.59
"3" "BIL_alondraHinojosa_daga_spanish_1058" "alondraH" "daga" "bilingual" "Spanish" "d" "stressed" -125.4 530.99 499.77 6 66.69 748713914.84
"4" "BIL_alondraHinojosa_daga_spanish_1144" "alondraH" "daga" "bilingual" "Spanish" "d" "stressed" -66.29 524.7 424.63 8.74 148.45 669204812.18
"5" "BIL_alondraHinojosa_daga_spanish_1252" "alondraH" "daga" "bilingual" "Spanish" "d" "stressed" -74.52 473.36 459.62 8.74 130.26 848767259.04
"6" "BIL_alondraHinojosa_dagger_english_1030" "alondraH" "dagger" "bilingual" "English" "d" "stressed" 27.48 6155.39 2254.55 -0.52 2.35 -5984056885.12
"7" "BIL_alondraHinojosa_dagger_english_1040" "alondraH" "dagger" "bilingual" "English" "d" "stressed" 20.95 3551.56 3565.49 0.67 -0.8 30204843408.71
"8" "BIL_alondraHinojosa_dagger_english_1140" "alondraH" "dagger" "bilingual" "English" "d" "stressed" 23.55 6304.03 3411.08 -0.31 -1.1 -12367826011.68
"9" "BIL_alondraHinojosa_dakota_english_1160" "alondraH" "dakota" "bilingual" "English" "d" "unstressed" 17.18 2134.38 2480.34 1.66 2.76 25379420721.86
"10" "BIL_alondraHinojosa_dakota_english_1254" "alondraH" "dakota" "bilingual" "English" "d" "unstressed" 22.51 3708.36 3258.73 0.64 -0.59 22319332942.08
"11" "BIL_alondraHinojosa_dakota_english_1256" "alondraH" "dakota" "bilingual" "English" "d" "unstressed" 21.64 2143.45 2730.16 1.63 1.7 33084184843.39
"12" "BIL_alondraHinojosa_daltonian_english_1020" "alondraH" "daltonian" "bilingual" "English" "d" "unstressed" 28.07 3216.02 3652.48 0.89 -0.7 43240295647.44
"13" "BIL_alondraHinojosa_daltonian_english_1044" "alondraH" "daltonian" "bilingual" "English" "d" "unstressed" 20.2 1371.21 2190.15 2.41 5.85 25311575847.51
"14" "BIL_alondraHinojosa_daltonian_english_1162" "alondraH" "daltonian" "bilingual" "English" "d" "unstressed" 20.69 1426.41 2333.09 2.61 6.86 33135719502.38
"15" "BIL_alondraHinojosa_daltonico_spanish_1036" "alondraH" "daltonico" "bilingual" "Spanish" "d" "unstressed" 13.21 435.46 524.64 9.1 128.81 1313771911.5
"16" "BIL_alondraHinojosa_daltonico_spanish_1056" "alondraH" "daltonico" "bilingual" "Spanish" "d" "unstressed" -52.8 466.83 686.89 7.39 76.73 2393727353.36
"17" "BIL_alondraHinojosa_daltonico_spanish_1280" "alondraH" "daltonico" "bilingual" "Spanish" "d" "unstressed" 14.37 447.24 487.48 10.69 171.14 1238418978.78
"18" "BIL_alondraHinojosa_dama_spanish_1168" "alondraH" "dama" "bilingual" "Spanish" "d" "stressed" -69.37 767.46 1289.94 4.51 24.77 9669588550.99
"19" "BIL_alondraHinojosa_dama_spanish_1202" "alondraH" "dama" "bilingual" "Spanish" "d" "stressed" -75.76 603.29 608.9 6.4 71.71 1444798166.09
"20" "BIL_alondraHinojosa_dama_spanish_1214" "alondraH" "dama" "bilingual" "Spanish" "d" "stressed" -37.36 372.07 416.57 14.26 292.52 1031003573.91
"21" "BIL_alondraHinojosa_dama_spanish_1226" "alondraH" "dama" "bilingual" "Spanish" "d" "stressed" -116.56 652.65 439.54 8.74 147.57 741921483.6
"22" "BIL_alondraHinojosa_damage_english_1066" "alondraH" "damage" "bilingual" "English" "d" "stressed" 22.56 2208.91 2676.06 1.83 3.01 35068369308.04
"23" "BIL_alondraHinojosa_damage_english_1176" "alondraH" "damage" "bilingual" "English" "d" "stressed" 23.23 5317.31 3318.43 0.003 -1.15 122405879.5
"24" "BIL_alondraHinojosa_damage_english_1264" "alondraH" "damage" "bilingual" "English" "d" "stressed" 17.13 1264.48 2294.92 2.7 6.75 32661371241.13
"25" "BIL_alondraHinojosa_damnation_english_1082" "alondraH" "damnation" "bilingual" "English" "d" "unstressed" 20.17 2338.17 2585.74 1.43 1.88 24643927221.64
"26" "BIL_alondraHinojosa_damnation_english_1108" "alondraH" "damnation" "bilingual" "English" "d" "unstressed" 37.69 6550.35 2808.92 -0.27 -0.02 -5913343564.9
"27" "BIL_alondraHinojosa_damnation_english_1120" "alondraH" "damnation" "bilingual" "English" "d" "unstressed" 26.91 3796.53 3510.82 0.44 -1.32 18930858456.67
"28" "BIL_alondraHinojosa_damper_english_1026" "alondraH" "damper" "bilingual" "English" "d" "stressed" 31.05 7880.97 2466.77 -0.97 2.57 -14561292331.07
"29" "BIL_alondraHinojosa_damper_english_1088" "alondraH" "damper" "bilingual" "English" "d" "stressed" 29.68 6496.31 2685.65 -0.63 0.68 -12126915798.76
"30" "BIL_alondraHinojosa_damper_english_1154" "alondraH" "damper" "bilingual" "English" "d" "stressed" 19.43 3676.42 3377.89 0.8 -0.48 30678485637.03
"31" "BIL_alondraHinojosa_damper_english_1242" "alondraH" "damper" "bilingual" "English" "d" "stressed" 22.6 1995.75 2272.22 2.09 4.76 24538400675.51
"32" "BIL_alondraHinojosa_danar_spanish_1090" "alondraH" "danar" "bilingual" "Spanish" "d" "unstressed" 11.85 461.81 302.02 12.15 312.13 334856234.81
"33" "BIL_alondraHinojosa_danar_spanish_1142" "alondraH" "danar" "bilingual" "Spanish" "d" "unstressed" -73.01 530.85 840.86 8.98 110.19 5340020604.08
"34" "BIL_alondraHinojosa_danar_spanish_1222" "alondraH" "danar" "bilingual" "Spanish" "d" "unstressed" -78.77 484.66 434.6 11.7 201.38 960467570.07
"35" "BIL_alondraHinojosa_dancette_english_1148" "alondraH" "dancette" "bilingual" "English" "d" "unstressed" 20.57 3175.16 3136.92 1.14 0.5 35036332704.4
"36" "BIL_alondraHinojosa_dancette_english_1200" "alondraH" "dancette" "bilingual" "English" "d" "unstressed" 21.71 5652.68 2897.9 0.2 -0.73 4780282165.37
"37" "BIL_alondraHinojosa_dancette_english_1224" "alondraH" "dancette" "bilingual" "English" "d" "unstressed" 21.44 2192.42 2723.44 1.58 1.97 31960754731.43
"38" "BIL_alondraHinojosa_dancing_english_1084" "alondraH" "dancing" "bilingual" "English" "d" "stressed" 16.16 2346.25 3052.98 1.48 1.22 42140310474.64
"39" "BIL_alondraHinojosa_dancing_english_1100" "alondraH" "dancing" "bilingual" "English" "d" "stressed" 22.61 3392.92 2863.35 0.63 -0.28 14836724192.61
"40" "BIL_alondraHinojosa_dancing_english_1282" "alondraH" "dancing" "bilingual" "English" "d" "stressed" 22.17 3147.02 3028.9 0.91 -0.14 25157557681.93
"41" "BIL_alondraHinojosa_danesa_spanish_1164" "alondraH" "danesa" "bilingual" "Spanish" "d" "unstressed" 21.56 722.97 943.73 6.82 65.81 5736047114.86
"42" "BIL_alondraHinojosa_danesa_spanish_1258" "alondraH" "danesa" "bilingual" "Spanish" "d" "unstressed" 27.08 2509.8 2229 2.11 5.54 23335409323.82
"43" "BIL_alondraHinojosa_danielle_english_1096" "alondraH" "danielle" "bilingual" "English" "d" "unstressed" 23.52 1865.4 2483.11 2.06 4.03 31562444188.87
"44" "BIL_alondraHinojosa_danielle_english_1102" "alondraH" "danielle" "bilingual" "English" "d" "unstressed" 20.09 2486.92 2929.25 1.82 2.89 45621725202.15
"45" "BIL_alondraHinojosa_danielle_english_1250" "alondraH" "danielle" "bilingual" "English" "d" "unstressed" 24.54 4998.02 3848.05 0.04 -1.54 2500048348.26
"46" "BIL_alondraHinojosa_danino_spanish_1064" "alondraH" "danino" "bilingual" "Spanish" "d" "unstressed" 12.1 382.37 341.92 16.76 412.14 669813551.64
"47" "BIL_alondraHinojosa_danino_spanish_1068" "alondraH" "danino" "bilingual" "Spanish" "d" "unstressed" 16.01 461.52 565.95 10.03 145.11 1819033428.7
"48" "BIL_alondraHinojosa_danino_spanish_1220" "alondraH" "danino" "bilingual" "Spanish" "d" "unstressed" 17.01 463.62 660.85 8.42 107.75 2430188778.14
"49" "BIL_alondraHinojosa_dano_spanish_1158" "alondraH" "dano" "bilingual" "Spanish" "d" "stressed" 21.87 1408.66 1745.8 3.2 12.76 17031467356.61
"50" "BIL_alondraHinojosa_dano_spanish_1192" "alondraH" "dano" "bilingual" "Spanish" "d" "stressed" -93.98 525.88 534.5 9.11 124.12 1390752077.59
"51" "BIL_alondraHinojosa_dano_spanish_1278" "alondraH" "dano" "bilingual" "Spanish" "d" "stressed" -75.8 433.17 462.19 12.39 209.31 1223391893.12
"52" "BIL_alondraHinojosa_danza_spanish_1060" "alondraH" "danza" "bilingual" "Spanish" "d" "stressed" 12.17 520.33 368.04 6.78 103.36 338111473.07
"53" "BIL_alondraHinojosa_danza_spanish_1098" "alondraH" "danza" "bilingual" "Spanish" "d" "stressed" 17.8 1169.31 1157.14 3.18 16.88 4924667750.38
"54" "BIL_alondraHinojosa_danza_spanish_1116" "alondraH" "danza" "bilingual" "Spanish" "d" "stressed" 12.45 506.52 518.39 8.84 127.48 1231512038.75
"55" "BIL_alondraHinojosa_danzar_spanish_1022" "alondraH" "danzar" "bilingual" "Spanish" "d" "unstressed" 12.29 433.82 302.11 12.74 347.03 351212876.46
"56" "BIL_alondraHinojosa_danzar_spanish_1170" "alondraH" "danzar" "bilingual" "Spanish" "d" "unstressed" 12.25 516.01 415.34 8.2 135.12 587634344.13
"57" "BIL_alondraHinojosa_danzar_spanish_1234" "alondraH" "danzar" "bilingual" "Spanish" "d" "unstressed" 17.65 526.01 605.15 8.21 109.97 1819126127.63
"58" "BIL_alondraHinojosa_dazzle_english_1042" "alondraH" "dazzle" "bilingual" "English" "d" "stressed" 23.69 5139 3368.12 0.07 -0.65 2841261773.41
"59" "BIL_alondraHinojosa_dazzle_english_1184" "alondraH" "dazzle" "bilingual" "English" "d" "stressed" 17.2 3413.48 2795.53 0.59 -0.34 12989202702.69
"60" "BIL_alondraHinojosa_dazzle_english_1216" "alondraH" "dazzle" "bilingual" "English" "d" "stressed" 20.8 2903.16 3137.01 1.13 0.18 34765361145.12
"61" "BIL_alondraHinojosa_tabaco_spanish_1080" "alondraH" "tabaco" "bilingual" "Spanish" "t" "unstressed" 6.89 574.48 471.7 8.17 116.54 857108516.15
"62" "BIL_alondraHinojosa_tabaco_spanish_1166" "alondraH" "tabaco" "bilingual" "Spanish" "t" "unstressed" 22.47 1215.59 1783.5 3.69 14.54 20940738225.19
"63" "BIL_alondraHinojosa_tabaco_spanish_1284" "alondraH" "tabaco" "bilingual" "Spanish" "t" "unstressed" 14.32 505.8 485.06 10.38 167.81 1185032216.66
"64" "BIL_alondraHinojosa_taberna_spanish_1006" "alondraH" "taberna" "bilingual" "Spanish" "t" "unstressed" 8.92 503.09 429.75 8.14 134.44 645858199.08
"65" "BIL_alondraHinojosa_taberna_spanish_1268" "alondraH" "taberna" "bilingual" "Spanish" "t" "unstressed" 7.31 523.32 390.27 7.36 119.68 437663458.33
"66" "BIL_alondraHinojosa_taberna_spanish_1286" "alondraH" "taberna" "bilingual" "Spanish" "t" "unstressed" 12.36 487.95 546.86 8.35 110.26 1365798844.09
"67" "BIL_alondraHinojosa_tabla_spanish_1050" "alondraH" "tabla" "bilingual" "Spanish" "t" "stressed" 7.53 613.08 521.99 7.43 99.39 1056854830.82
"68" "BIL_alondraHinojosa_tabla_spanish_1118" "alondraH" "tabla" "bilingual" "Spanish" "t" "stressed" 7.69 527.43 451.33 6.27 86.59 576006294.05
"69" "BIL_alondraHinojosa_tabla_spanish_1244" "alondraH" "tabla" "bilingual" "Spanish" "t" "stressed" 11.2 451.02 351.25 13.62 316.47 590035352.9
"70" "BIL_alondraHinojosa_tabloid_english_1004" "alondraH" "tabloid" "bilingual" "English" "t" "stressed" 80.99 4844.79 3753.58 0.13 -1.26 7017313913.52
"71" "BIL_alondraHinojosa_tabloid_english_1092" "alondraH" "tabloid" "bilingual" "English" "t" "stressed" 54.16 7199.29 3009.55 -0.7 0.38 -19105453045.01
"72" "BIL_alondraHinojosa_tabloid_english_1126" "alondraH" "tabloid" "bilingual" "English" "t" "stressed" 44.91 2572.19 3270.64 1.29 0.26 45042220788.47
"73" "BIL_alondraHinojosa_taboo_english_1054" "alondraH" "taboo" "bilingual" "English" "t" "unstressed" 40.31 4149.87 3627.59 0.57 -0.71 27201249067.72
