token,subject,word,group,language,cons,stress,vot,cog,sd,skew,kurt
BIL_alondraHinojosa_daba_spanish_1086,alondraH,daba,bilingual,Spanish,d,stressed,-93.35,NA,NA,NA,NA
BIL_alondraHinojosa_daba_spanish_1156,alondraH,daba,bilingual,Spanish,d,stressed,-79.25,NA,NA,NA,NA
BIL_alondraHinojosa_daga_spanish_1058,alondraH,daga,bilingual,Spanish,d,stressed,-125.40,NA,NA,NA,NA
BIL_alondraHinojosa_daga_spanish_1144,alondraH,daga,bilingual,Spanish,d,stressed,-66.29,NA,NA,NA,NA
BIL_alondraHinojosa_daga_spanish_1252,alondraH,daga,bilingual,Spanish,d,stressed,-74.52,NA,NA,NA,NA
BIL_alondraHinojosa_dagger_english_1030,alondraH,dagger,bilingual,English,d,stressed,27.48,5046.570,2838.133,-0.273,-0.245
BIL_alondraHinojosa_dagger_english_1040,alondraH,dagger,bilingual,English,d,stressed,20.95,3486.700,3531.034,0.690,-0.763
BIL_alondraHinojosa_dagger_english_1140,alondraH,dagger,bilingual,English,d,stressed,23.55,5957.101,3474.590,-0.169,-1.235
BIL_alondraHinojosa_dakota_english_1160,alondraH,dakota,bilingual,English,d,unstressed,17.18,2623.505,2708.166,1.502,1.888
BIL_alondraHinojosa_dakota_english_1254,alondraH,dakota,bilingual,English,d,unstressed,22.51,2465.571,2975.085,1.289,0.747
BIL_alondraHinojosa_dakota_english_1256,alondraH,dakota,bilingual,English,d,unstressed,21.64,1747.571,2496.207,1.955,3.131
BIL_alondraHinojosa_daltonian_english_1020,alondraH,daltonian,bilingual,English,d,unstressed,28.07,2026.888,2784.906,1.773,2.219
BIL_alondraHinojosa_daltonian_english_1044,alondraH,daltonian,bilingual,English,d,unstressed,20.20,1329.983,2155.734,2.472,6.227
BIL_alondraHinojosa_daltonian_english_1162,alondraH,daltonian,bilingual,English,d,unstressed,20.69,1356.025,2250.288,2.724,7.685
BIL_alondraHinojosa_daltonico_spanish_1036,alondraH,daltonico,bilingual,Spanish,d,unstressed,13.21,NA,NA,NA,NA
BIL_alondraHinojosa_daltonico_spanish_1056,alondraH,daltonico,bilingual,Spanish,d,unstressed,-52.80,NA,NA,NA,NA
BIL_alondraHinojosa_daltonico_spanish_1280,alondraH,daltonico,bilingual,Spanish,d,unstressed,14.37,NA,NA,NA,NA
BIL_alondraHinojosa_dama_spanish_1168,alondraH,dama,bilingual,Spanish,d,stressed,-69.37,NA,NA,NA,NA
BIL_alondraHinojosa_dama_spanish_1202,alondraH,dama,bilingual,Spanish,d,stressed,-75.76,NA,NA,NA,NA
BIL_alondraHinojosa_dama_spanish_1214,alondraH,dama,bilingual,Spanish,d,stressed,-37.36,NA,NA,NA,NA
