token	subject	gender	language	session	word	vowel	f0	logf0	f1	logf1	f2	logf2	f3	logf3	fronting1	fronting2	height	group	heightMel	frontingMel
rec_s2_F_P04_oO102	P04	F	Spanish	s2	sopa	closed	167	2.2221	602	2.7794	1173	3.0692	2545	3.4058	0.2898	0.3366	0.5573	G2	260.8	221.4
rec_s2_F_P04_oO105	P04	F	Spanish	s2	botas	closed	169	2.2281	529	2.7236	1251	3.0973	2706	3.4324	0.3737	0.3350	0.4955	G2	223.3	281.8
rec_s2_F_P04_oO106	P04	F	Spanish	s2	sola	closed	169	2.2283	622	2.7936	1292	3.1114	2518	3.4010	0.3177	0.2896	0.5653	G2	268.7	248.7
rec_s2_F_P04_oO108	P04	F	Spanish	s2	coma	closed	171	2.2322	528	2.7229	986	2.9941	2327	3.3667	0.2711	0.3727	0.4907	G2	221.2	194.7
rec_s2_F_P04_oO112	P04	F	Spanish	s2	pelota	closed	165	2.2173	653	2.8151	1426	3.1542	2764	3.4415	0.3391	0.2873	0.5978	G2	286.2	272.9
rec_s2_F_P04_oO114	P04	F	Spanish	s2	destroza	closed	90	1.9565	609	2.7844	1334	3.1253	2686	3.4291	0.3408	0.3038	0.8279	G2	326.6	267.2
rec_s2_F_P04_oO12	P04	F	Spanish	s2	coma	closed	180	2.2543	564	2.7516	1035	3.0148	2410	3.3821	0.2632	0.3673	0.4973	G2	232.5	193.9
rec_s2_F_P04_oO120	P04	F	Spanish	s2	pomo	closed	174	2.2412	530	2.7245	1016	3.0071	2650	3.4232	0.2826	0.4161	0.4834	G2	220.0	204.4
rec_s2_F_P04_oO122	P04	F	Spanish	s2	cosa	closed	86	1.9359	534	2.7272	1082	3.0341	2411	3.3821	0.3069	0.3481	0.7912	G2	293.3	225.0
rec_s2_F_P04_oO126	P04	F	Spanish	s2	nota	closed	167	2.2218	586	2.7679	1449	3.1610	2766	3.4419	0.3930	0.2809	0.5461	G2	253.1	310.8
rec_s2_F_P04_oO134	P04	F	Spanish	s2	sopa	closed	82	1.9150	520	2.7160	1147	3.0596	2564	3.4089	0.3436	0.3492	0.8011	G2	289.6	253.7
rec_s2_F_P04_oO144	P04	F	Spanish	s2	toma	closed	179	2.2532	577	2.7614	1180	3.0717	2707	3.4324	0.3103	0.3607	0.5082	G2	239.6	235.7
rec_s2_F_P04_oO15	P04	F	Spanish	s2	copa	closed	170	2.2308	509	2.7070	964	2.9841	2415	3.3830	0.2771	0.3989	0.4762	G2	212.2	196.6
rec_s2_F_P04_oO17	P04	F	Spanish	s2	capota	closed	170	2.2304	577	2.7612	1225	3.0882	2807	3.4482	0.3270	0.3600	0.5308	G2	246.4	249.8
rec_s2_F_P04_oO19	P04	F	Spanish	s2	pelota	closed	182	2.2604	562	2.7495	1756	3.2445	2518	3.4010	0.4950	0.1565	0.4891	G2	230.0	401.1
