subject,language,word,cons,vot,cog,sd,skew,kurt,cm,mint
ainaGomi,Spanish,daba,da,-57.0033333333333,527.35,426.653333333333,8.54333333333333,199.636666666667,586612976.156667,71.6473
albaMart,Spanish,daba,da,-88.1533333333333,710.683333333333,1090.72,5.92666666666667,75,6772331605.14333,68.1433
elenaFer,Spanish,daba,da,-73.9966666666667,655.603333333333,613.386666666667,5.71666666666667,86.5033333333333,1131507043.98667,73.7822666666667
lauraRay,Spanish,daba,da,-65.0866666666667,605.843333333333,458.29,7.09333333333333,128.84,613322898.87,68.2803333333333
marinaGo,Spanish,daba,da,-73.5,475.105,432.61,11.545,251.3425,948377897.955,72.27395
martaLav,Spanish,daba,da,-65.91,742.165,650.25,3.78,25.035,1755407397.465,74.41355
tamaraMo,Spanish,daba,da,-85.0966666666667,665.333333333333,518.42,3.77333333333333,27.0733333333333,511761784.11,70.0661333333333
ainaGomi,Spanish,dado,da,-64.7833333333333,550.986666666667,444.053333333333,7.74666666666667,128.713333333333,680516806.823333,74.0441
albaMart,Spanish,dado,da,-82.6133333333333,664.826666666667,773.77,4.95666666666667,45.22,2945068313.85,70.4143
elenaFer,Spanish,dado,da,-61.3033333333333,615.69,551.376666666667,5.43333333333333,58.7466666666667,940249440.303333,74.6867
lauraRay,Spanish,dado,da,-64.03,637.946666666667,861.433333333333,5.48666666666667,46.2066666666667,5343376092.66667,67.5204
marinaGo,Spanish,dado,da,-75.8533333333333,519.413333333333,402.816666666667,8.77666666666667,193.89,564939480.38,72.1471666666667
martaLav,Spanish,dado,da,-73.5466666666667,643.48,397.763333333333,5.99333333333333,84.12,382779773.433333,75.7058
tamaraMo,Spanish,dado,da,-104.44,504.96,677.946666666667,5.10333333333333,51.6266666666667,2898430476.38333,68.3980666666667
ainaGomi,Spanish,daga,da,-64.4566666666667,547.373333333333,435.386666666667,7.4,111.756666666667,577552019.046667,74.5042666666667
albaMart,Spanish,daga,da,-92.4733333333333,984.88,1141.02,3.86,29.02,7058877693.09667,69.4203
elenaFer,Spanish,daga,da,-76.8266666666667,602.49,608.156666666667,5.53,57.9733333333333,1224374379.56667,73.8864
lauraRay,Spanish,daga,da,-57.7366666666667,690.003333333333,695.733333333333,4.72,53.33,3351689512.67,69.2819666666667
marinaGo,Spanish,daga,da,-36.2066666666667,524.453333333333,553.193333333333,9.43333333333333,182.54,1812755190.57,72.0605333333333
martaLav,Spanish,daga,da,-79.9766666666667,688.963333333333,409.986666666667,5.43666666666667,72.1366666666667,363543973.613333,76.8743
tamaraMo,Spanish,daga,da,-30.3233333333333,537.733333333333,479.396666666667,7.36666666666667,118.67,942777966.69,66.0336666666667
hollyHig,English,dagger,da,23.27,1542.92666666667,1866.57666666667,1.19666666666667,1.64666666666667,7299806629.49333,63.1768666666667
jessicaN,English,dagger,da,17.5733333333333,1157.05,1379.15666666667,4.73333333333333,39.82,7213146955.27667,64.9662
katieMar,English,dagger,da,15.1433333333333,450.973333333333,510.236666666667,6.19333333333333,67.4366666666667,814630790.5,69.1108333333333
lisetteC,English,dagger,da,18.56,706.24,1510.55,3.56,17.355,12487499928.33,63.1644
mariahFr,English,dagger,da,27.94,5231.05,2027.9,-0.363333333333333,1.56,-3155200559.35,68.7841666666667
meganHor,English,dagger,da,17.44,1092.18,1405.99,2.13666666666667,7.9,6252732238.14667,70.4979666666667
vanessaV,English,dagger,da,32.8366666666667,3934.68333333333,2489.64666666667,-0.0466666666666667,0.06,3337972088.35667,62.1251
hollyHig,English,dakota,da,26.31,2178.41,1872.67666666667,0.94,1.91666666666667,6462732575.19333,62.1118333333333
jessicaN,English,dakota,da,23.36,445.993333333333,771.543333333333,19.31,766.616666666667,4809953266.44333,61.7239666666667
katieMar,English,dakota,da,22.11,2365.13333333333,1648.26,0.0433333333333333,0.56,228897493.556667,60.7730333333333
lisetteC,English,dakota,da,31.38,2675.78333333333,2534,0.503333333333333,-0.55,8169420386.53333,56.0150333333333
mariahFr,English,dakota,da,25.5733333333333,3723.53,1641.14666666667,-0.283333333333333,5.56666666666667,-536545140.85,69.3678
meganHor,English,dakota,da,20.8633333333333,2117.14,1630.00666666667,0.566666666666667,2.98333333333333,2851648017.75,68.2888
vanessaV,English,dakota,da,43.32,4548.69666666667,1903.12,-0.0533333333333333,2.16666666666667,847512682.596667,59.4764333333333
hollyHig,English,daltonian,da,30.8533333333333,1876.03666666667,1861.92666666667,1.92333333333333,6.08,12323166251.3967,57.8942
jessicaN,English,daltonian,da,16.7233333333333,974.973333333333,1413.63,6.74666666666667,126.523333333333,10211679418.8,66.3023
katieMar,English,daltonian,da,14.67,548.713333333333,624.626666666667,6.47,96.1133333333333,2424517703.94667,65.7632666666667
lisetteC,English,daltonian,da,17.9133333333333,1019.80666666667,1547.18666666667,4.07333333333333,26.51,14208542295.64,66.8314666666667
mariahFr,English,daltonian,da,26.44,2891.75,2147.72666666667,0.703333333333333,2.74666666666667,5999152114.61667,63.1837666666667
meganHor,English,daltonian,da,19.2666666666667,720.146666666667,1211.97,4.83,35.66,9217693964.38333,67.6181666666667
vanessaV,English,daltonian,da,42.53,3337.02,2158.93333333333,0.256666666666667,0.333333333333333,3342151646.53333,59.0164666666667
ainaGomi,Spanish,daltonico,da,-51.5066666666667,663.463333333333,526.846666666667,4.60666666666667,46.2433333333333,660720583.706667,74.9504
albaMart,Spanish,daltonico,da,-86.4833333333333,805.003333333333,984.926666666667,3.44666666666667,20.77,4677909553.60667,71.01
elenaFer,Spanish,daltonico,da,-45.66,635.32,543.56,5.51,70.1066666666667,828727146.366667,72.6868333333333
lauraRay,Spanish,daltonico,da,-17.77,1158.65333333333,1079.63,4.67333333333333,47.7133333333333,6666950340.96667,66.9504333333333
marinaGo,Spanish,daltonico,da,-32.4766666666667,518.046666666667,498.203333333333,10.5466666666667,203.256666666667,1302717515.60333,71.2295666666667
martaLav,Spanish,daltonico,da,-25.3866666666667,612.22,479.936666666667,6.37,81.54,830135939.763333,70.3113333333333
tamaraMo,Spanish,daltonico,da,-75.1433333333333,513.326666666667,466.393333333333,7.73666666666667,125.083333333333,849063543.843333,66.3097333333333
ainaGomi,Spanish,dama,da,-68.2866666666667,680.47,544.296666666667,3.97333333333333,31.8133333333333,641175872.403333,75.4655333333333
albaMart,Spanish,dama,da,-78.68,561.476666666667,732.63,5.95666666666667,61.49,2172702666.15333,69.5847666666667
elenaFer,Spanish,dama,da,-79.96,619.936666666667,630.06,4.49333333333333,41.9733333333333,1105007103.84333,73.7307666666667
lauraRay,Spanish,dama,da,-52.5733333333333,560.033333333333,674.616666666667,8.46,127.58,2883062272.66,67.3139
marinaGo,Spanish,dama,da,-47.7066666666667,565.563333333333,425.933333333333,9.23,221.41,695963436.046667,71.3579
martaLav,Spanish,dama,da,-74.62,616.376666666667,383.226666666667,6.97,113.416666666667,394627401.413333,76.9387333333333
tamaraMo,Spanish,dama,da,-72.0533333333333,622.643333333333,606.106666666667,4.32666666666667,37.79,954208236.97,69.2890333333333
hollyHig,English,damage,da,19.9,921.576666666667,1411.20666666667,2.53666666666667,8.62666666666667,7331015714.77333,65.6975666666667
jessicaN,English,damage,da,21.6266666666667,1394.05333333333,1763.57666666667,2.66666666666667,12.0633333333333,11215667794.6367,63.1830333333333
katieMar,English,damage,da,20.5766666666667,1401.33666666667,1660.14,2.17333333333333,7.42333333333333,10300161308.0467,61.8139333333333
lisetteC,English,damage,da,23.8066666666667,2631.92,2503.79666666667,1.04,1.34333333333333,13885141297.74,62.9354
mariahFr,English,damage,da,22.33,4694.71666666667,1897.92666666667,-0.843333333333333,1.03,-5562242740.47,69.2554666666667
meganHor,English,damage,da,22.6033333333333,3151.63,1946.21,0.433333333333333,1.23666666666667,3309312854.10667,67.533
vanessaV,English,damage,da,38.1566666666667,5124.21,2825.31,0.183333333333333,-0.163333333333333,4634446195.80667,59.593
hollyHig,English,damnation,da,24.61,1543.92666666667,1628.77333333333,1.74,6.02666666666667,6706331281.50333,63.8854666666667
jessicaN,English,damnation,da,21.3733333333333,568.363333333333,1024.37333333333,6.22,60.7666666666667,6049089213.17667,66.8279333333333
katieMar,English,damnation,da,24.2033333333333,1912.35333333333,1318.38666666667,3.58,49.9566666666667,4502206640.11667,58.6032
lisetteC,English,damnation,da,19.8833333333333,1012.16,1594.12666666667,2.69,12.1266666666667,10003122713.9633,62.5467333333333
mariahFr,English,damnation,da,27.83,3735.10333333333,1965.69666666667,0.443333333333333,1.43333333333333,2700552637.89,64.5873
meganHor,English,damnation,da,23.6633333333333,2191.10333333333,1823.57,0.64,1.86,3756894670.81,63.3446
vanessaV,English,damnation,da,52.9066666666667,4973.14,2120.99,0.166666666666667,1.17666666666667,50095026.6066667,56.4869666666667
hollyHig,English,damper,da,18.4933333333333,1160.67666666667,1563.46666666667,2.06333333333333,5.46666666666667,7637455426.03667,66.5663
jessicaN,English,damper,da,25.57,2455.46333333333,2174.56,1.27333333333333,2.85,12534155481.4567,61.7327
katieMar,English,damper,da,20.5633333333333,1194.97666666667,1239.27333333333,3.00333333333333,16.37,3975132429.21333,60.7718
lisetteC,English,damper,da,19.0866666666667,2068.8,1973.23,2.6,17.8,8466383551.13667,62.6073
mariahFr,English,damper,da,36.925,4696.345,1803.3,-0.48,2.725,-2995569754.98,63.25865
meganHor,English,damper,da,22.03,3208.66,1848.18,0.0666666666666667,1.42,591440591.05,68.6206
vanessaV,English,damper,da,45.1533333333333,6193.50666666667,2589.33,-0.463333333333333,-0.223333333333333,-7536839734.15333,59.7469
ainaGomi,Spanish,danar,da,-55.3266666666667,592.68,639.136666666667,5.55,55.3666666666667,1865215517.49333,72.8583333333333
albaMart,Spanish,danar,da,-82.5733333333333,521.683333333333,677.17,6.6,75.6666666666667,2002102637.63667,70.0503
elenaFer,Spanish,danar,da,-53.49,582.176666666667,559.156666666667,5.18333333333333,64.47,869553105.753333,71.3347333333333
lauraRay,Spanish,danar,da,-21.7633333333333,1097.82333333333,1779.83666666667,3.23,12.0266666666667,19550746516.9567,60.6724
marinaGo,Spanish,danar,da,-42.26,465.933333333333,465.466666666667,10.27,198.41,1138791576.73,70.3880666666667
martaLav,Spanish,danar,da,-64.2966666666667,588.683333333333,370.03,6.9,115.84,351563033.08,75.7807666666667
tamaraMo,Spanish,danar,da,-78.85,638.216666666667,768.083333333333,5.16,51.0166666666667,3120340288.45,65.4099
hollyHig,English,dancette,da,25.5066666666667,2220.32666666667,2086.10666666667,1.15333333333333,1.93333333333333,10513928363.4867,61.5743333333333
jessicaN,English,dancette,da,18.7,817.973333333333,1439.15,7.83333333333333,126.736666666667,15360885727.7167,66.3458
katieMar,English,dancette,da,16.59,426.613333333333,539.42,7.81666666666667,133.156666666667,1122999551.22667,63.4013
lisetteC,English,dancette,da,17.0433333333333,825.946666666667,1168.12,5.02333333333333,70.1133333333333,6730839588.37667,61.6742666666667
mariahFr,English,dancette,da,23.3033333333333,1916.86333333333,1968.85666666667,1.11,3.18,8023092245.27333,62.9354666666667
meganHor,English,dancette,da,20.755,1340.68,1569.33,1.61,5.99,6767576998.61,65.4067
vanessaV,English,dancette,da,69.8633333333333,5275.10666666667,2436.62666666667,0.07,0.81,1940209303.53667,53.9013666666667
hollyHig,English,dancing,da,18.9933333333333,896.693333333333,1206.28333333333,3.39666666666667,20.1033333333333,5477725755.37,65.1874666666667
jessicaN,English,dancing,da,19.9133333333333,896.236666666667,1523.74666666667,4.1,26.87,12756792473.27,62.5351
katieMar,English,dancing,da,20.2233333333333,790.54,971.743333333333,4.09333333333333,38.7366666666667,2794998160.85333,63.8606
