
12-0250-English-Spanish-t-d
11/24/2012	19:35:13

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group		Instructions	Instructions	Instructions		 	Pressed	(any response)	C	1405					
Main Group		Experiment	Experiment, 98	Stimulus (98, eggplant2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 63	Stimulus (63, dancing3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 223	Stimulus (223, tabu1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 49	Stimulus (49, damage1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 111	Stimulus (111, fat3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 266	Stimulus (266, tapioca2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 135	Stimulus (135, herrero3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 282	Stimulus (282, window3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 200	Stimulus (200, snake2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 102	Stimulus (102, enano3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 24	Stimulus (24, atun3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 258	Stimulus (258, tanque3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 65	Stimulus (65, danes2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 219	Stimulus (219, tabloid3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 261	Stimulus (261, tanto3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 130	Stimulus (130, hand1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 56	Stimulus (56, damper2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 53	Stimulus (53, damnation2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 222	Stimulus (222, taboo3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 126	Stimulus (126, fork3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 41	Stimulus (41, daltonian2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 118	Stimulus (118, firma1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 84	Stimulus (84, danseur3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 229	Stimulus (229, tackle1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 162	Stimulus (162, marisco3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 196	Stimulus (196, shot1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 37	Stimulus (37, dakota1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 153	Stimulus (153, lila3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 271	Stimulus (271, tattoo1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 274	Stimulus (274, taza1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 3	Stimulus (3, abuela3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 248	Stimulus (248, tambourine2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 210	Stimulus (210, tabard3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 62	Stimulus (62, dancing2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 176	Stimulus (176, nieve2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 121	Stimulus (121, fly1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 280	Stimulus (280, window1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 179	Stimulus (179, ninno2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 213	Stimulus (213, taberna3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 265	Stimulus (265, tapioca1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 114	Stimulus (114, felino3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 134	Stimulus (134, herrero2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 105	Stimulus (105, estufa3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 145	Stimulus (145, leg1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 164	Stimulus (164, medico2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 32	Stimulus (32, daga2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 171	Stimulus (171, neck3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 227	Stimulus (227, tacit2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 39	Stimulus (39, dakota3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 74	Stimulus (74, dannar2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 240	Stimulus (240, tactil3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 158	Stimulus (158, manta2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 33	Stimulus (33, daga3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 186	Stimulus (186, rain3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 94	Stimulus (94, dazzle1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 146	Stimulus (146, leg2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 8	Stimulus (8, answer2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 85	Stimulus (85, danza1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 123	Stimulus (123, fly3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 168	Stimulus (168, mesa3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 52	Stimulus (52, damnation1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 21	Stimulus (21, artichoke3.wav)				ENGLISH	NR	0					
