participant,group,cutoff
allyHow,NEN,59.01
hollyHi,NEN,86.72
jessica,NEN,51.29
katieMa,NEN,26.56
lisette,NEN,31.7
mariahF,NEN,82.36
meganHo,NEN,71.66
vanessa,NEN,110.02
ainaGom,NSP,17.59
albaMar,NSP,17.03
catalin,NSP,28.6
clarao,NSP,25.15
cristin,NSP,23.87
elenaFe,NSP,23.28
emmaRui,NSP,31.46
lauraMa,NSP,23.11
barbara,BIL,54.13
erikaRe,BIL,73.65
fernand,BIL,76.39
genesis,BIL,31.91
izamarM,BIL,74.92
jeanett,BIL,60.76
lindao,BIL,40.38
melinda,BIL,86.06
melissa,BIL,88.75
paulina,BIL,69.28
priscil,BIL,54.47
serenaV,BIL,63.65
veronic,BIL,110.35
viviana,BIL,104.69
yamileD,BIL,74.49
zaidaVe,BIL,75.32
